TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,"English, IOC",SCI_NAME,ORDER,FAMILY,SPECIES_GROUP,REPORT_AS
252.5,hybrid,x00755,Greater White-fronted x Bar-headed Goose (hybrid),Greater White-fronted x Bar-headed Goose (hybrid),Anser albifrons x indicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
252.7,domestic,domgoo1,Domestic goose sp. (Domestic type),Domestic goose sp. (Domestic type),Anser sp. (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
252.9,spuh,anser1,Anser sp.,Anser sp.,Anser sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
253,species,empgoo,Emperor Goose,Emperor Goose,Chen canagica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
254,species,snogoo,Snow Goose,Snow Goose,Chen caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
256.5,hybrid,x00627,Greater White-fronted x Snow Goose (hybrid),Greater White-fronted x Snow Goose (hybrid),Anser albifrons x Chen caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
259,species,rosgoo,Ross's Goose,Ross's Goose,Chen rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
259.5,hybrid,sxrgoo1,Snow x Ross's Goose (hybrid),Snow x Ross's Goose (hybrid),Chen caerulescens x rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
260,slash,y00469,Snow/Ross's Goose,Snow/Ross's Goose,Chen caerulescens/rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
261,species,brant,Brant,Brant Goose,Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
262,issf,dabbra1,Brant (Dark-bellied),Brant Goose (Dark-bellied),Branta bernicla bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
264,issf,atlbra1,Brant (Atlantic),Brant Goose (Atlantic),Branta bernicla hrota,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
266,issf,blkbra1,Brant (Black),Brant Goose (Black),Branta bernicla nigricans/orientalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
266.7,form,gybbra1,Brant (Gray-bellied),Brant Goose (Grey-bellied),Branta bernicla (Gray-bellied),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
266.8,intergrade,brant1,Brant (Atlantic x Black),Brant Goose (Atlantic x Black),Branta bernicla hrota x nigricans,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
267,hybrid,x00685,Snow Goose x Brant (hybrid),Snow Goose x Brant (hybrid),Chen caerulescens x Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
268,species,bargoo,Barnacle Goose,Barnacle Goose,Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
268.2,hybrid,x00756,Pink-footed x Barnacle Goose (hybrid),Pink-footed x Barnacle Goose (hybrid),Anser brachyrhynchus x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
268.4,hybrid,x00757,Greater White-fronted x Barnacle Goose (hybrid),Greater White-fronted x Barnacle Goose (hybrid),Anser albifrons x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
268.5,hybrid,x00649,Graylag x Barnacle Goose (hybrid),Greylag x Barnacle Goose (hybrid),Anser anser x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
271,species,cacgoo1,Cackling Goose,Cackling Goose,Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
272,issf,alcgoo1,Cackling Goose (Aleutian),Cackling Goose (Aleutian),Branta hutchinsii leucopareia,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cacgoo1
