TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,"English, IOC",SCI_NAME,ORDER,FAMILY,SPECIES_GROUP,REPORT_AS
11587.77535,species,refpar4,Red-crowned Parakeet,Red-crowned Parakeet,Cyanoramphus novaezelandiae,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77538,species,reipar1,Reischek's Parakeet,Reischek's Parakeet,Cyanoramphus hochstetteri,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77538,species,necpar1,New Caledonian Parakeet,New Caledonian Parakeet,Cyanoramphus saisseti,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77539,species,noipar1,Norfolk Island Parakeet,Norfolk Parakeet,Cyanoramphus cookii,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77539,species,yefpar3,Yellow-crowned Parakeet,Yellow-crowned Parakeet,Cyanoramphus auriceps,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.7754,species,chipar1,Chatham Islands Parakeet,Chatham Parakeet,Cyanoramphus forbesi,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.7754,species,malpar2,Malherbe's Parakeet,Malherbe's Parakeet,Cyanoramphus malherbi,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77541,spuh,cyanor1,Cyanoramphus sp.,Cyanoramphus sp.,Cyanoramphus sp.,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77541,species,polpar1,Australian Ringneck,Australian Ringneck,Barnardius zonarius,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77542,issf,polpar3,Australian Ringneck (Twenty-eight),Australian Ringneck (Twenty-eight),Barnardius zonarius semitorquatus,Psittaciformes,Psittaculidae (Old World Parrots),,polpar1
11587.77542,issf,polpar2,Australian Ringneck (Port Lincoln),Australian Ringneck (Port Lincoln),Barnardius zonarius zonarius,Psittaciformes,Psittaculidae (Old World Parrots),,polpar1
11587.77544,issf,malrin2,Australian Ringneck (Mallee),Australian Ringneck (Mallee),Barnardius zonarius barnardi,Psittaciformes,Psittaculidae (Old World Parrots),,polpar1
11587.77546,issf,malrin3,Australian Ringneck (Cloncurry),Australian Ringneck (Cloncurry),Barnardius zonarius macgillivrayi,Psittaciformes,Psittaculidae (Old World Parrots),,polpar1
11587.77546,species,greros2,Green Rosella,Green Rosella,Platycercus caledonicus,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77547,species,criros2,Crimson Rosella,Crimson Rosella,Platycercus elegans,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77547,issf,criros1,Crimson Rosella (Crimson),Crimson Rosella (Crimson),Platycercus elegans [elegans Group],Psittaciformes,Psittaculidae (Old World Parrots),,criros2
11587.77549,issf,yelros1,Crimson Rosella (Yellow),Crimson Rosella (Yellow),Platycercus elegans flaveolus,Psittaciformes,Psittaculidae (Old World Parrots),,criros2
11587.7755,intergrade,criros3,Crimson Rosella (Crimson x Yellow),Crimson Rosella (Crimson x Yellow),Platycercus elegans [elegans Group] x flaveolus,Psittaciformes,Psittaculidae (Old World Parrots),,criros2
11587.7755,issf,aderos1,Crimson Rosella (Adelaide),Crimson Rosella (Adelaide),Platycercus elegans adelaidae/subadelaidae,Psittaciformes,Psittaculidae (Old World Parrots),,criros2
11587.77552,species,norros1,Northern Rosella,Northern Rosella,Platycercus venustus,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77552,species,easros1,Eastern Rosella,Eastern Rosella,Platycercus eximius,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77553,hybrid,x00807,Green x Eastern Rosella (hybrid),Green x Eastern Rosella (hybrid),Platycercus caledonicus x eximius,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77553,hybrid,x00808,Crimson x Eastern Rosella (hybrid),Crimson x Eastern Rosella (hybrid),Platycercus elegans x eximius,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77554,species,pahros1,Pale-headed Rosella,Pale-headed Rosella,Platycercus adscitus,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77555,hybrid,x00707,Eastern x Pale-headed Rosella (hybrid),Eastern x Pale-headed Rosella (hybrid),Platycercus eximius x adscitus,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77556,species,wesros1,Western Rosella,Western Rosella,Platycercus icterotis,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77558,species,bluebo1,Greater Bluebonnet,Eastern Bluebonnet,Northiella haematogaster,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77558,issf,bluebo2,Greater Bluebonnet (Yellow-vented),Eastern Bluebonnet (Yellow-vented),Northiella haematogaster haematogaster/pallescens,Psittaciformes,Psittaculidae (Old World Parrots),,bluebo1
11587.7756,issf,bluebo3,Greater Bluebonnet (Red-vented),Eastern Bluebonnet (Red-vented),Northiella haematogaster haematorrhous,Psittaciformes,Psittaculidae (Old World Parrots),,bluebo1
11587.7756,species,bluebo4,Naretha Bluebonnet,Naretha Bluebonnet,Northiella narethae,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77561,species,rerpar1,Red-rumped Parrot,Red-rumped Parrot,Psephotus haematonotus,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77562,species,mulpar1,Mulga Parrot,Mulga Parrot,Psephotus varius,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77563,species,hoopar1,Hooded Parrot,Hooded Parrot,Psephotus dissimilis,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77563,species,gospar1,Golden-shouldered Parrot,Golden-shouldered Parrot,Psephotus chrysopterygius,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77564,species,parpar2,Paradise Parakeet,Paradise Parakeet,Psephotus pulcherrimus,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77564,species,recpar1,Red-capped Parrot,Red-capped Parrot,Purpureicephalus spurius,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77565,species,obfpar1,Orange-breasted Fig-Parrot,Orange-breasted Fig Parrot,Cyclopsitta gulielmitertii,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77565,issf,orbfip1,Orange-breasted Fig-Parrot (Dusky-cheeked),Orange-breasted Fig Parrot (Dusky-cheeked),Cyclopsitta gulielmitertii [melanogenia Group],Psittaciformes,Psittaculidae (Old World Parrots),,obfpar1
11587.77567,issf,orbfip2,Orange-breasted Fig-Parrot (Orange-breasted),Orange-breasted Fig Parrot (Orange-breasted),Cyclopsitta gulielmitertii gulielmitertii,Psittaciformes,Psittaculidae (Old World Parrots),,obfpar1
11587.77568,issf,orbfip3,Orange-breasted Fig-Parrot (Black-fronted),Orange-breasted Fig Parrot (Black-fronted),Cyclopsitta gulielmitertii [nigrifrons Group],Psittaciformes,Psittaculidae (Old World Parrots),,obfpar1
11587.7757,species,defpar1,Double-eyed Fig-Parrot,Double-eyed Fig Parrot,Cyclopsitta diophthalma,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77574,species,lafpar1,Large Fig-Parrot,Large Fig Parrot,Psittaculirostris desmarestii,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77578,species,edfpar1,Edwards's Fig-Parrot,Edwards's Fig Parrot,Psittaculirostris edwardsii,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77578,species,safpar1,Salvadori's Fig-Parrot,Salvadori's Fig Parrot,Psittaculirostris salvadorii,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77579,species,guaiab1,Guaiabero,Guaiabero,Bolbopsittacus lunulatus,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77581,species,budger,Budgerigar,Budgerigar,Melopsittacus undulatus,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77581,domestic,budger1,Budgerigar (Domestic type),Budgerigar (Domestic type),Melopsittacus undulatus (Domestic type),Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77582,species,plflor1,Plum-faced Lorikeet,Plum-faced Lorikeet,Oreopsittacus arfaki,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77584,species,pallor1,Palm Lorikeet,Palm Lorikeet,Charmosyna palmarum,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77584,species,reclor1,Red-chinned Lorikeet,Red-chinned Lorikeet,Charmosyna rubrigularis,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77585,species,meelor1,Meek's Lorikeet,Meek's Lorikeet,Charmosyna meeki,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77585,species,blflor1,Blue-fronted Lorikeet,Blue-fronted Lorikeet,Charmosyna toxopei,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77586,species,strlor1,Striated Lorikeet,Striated Lorikeet,Charmosyna multistriata,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77586,species,pyglor1,Pygmy Lorikeet,Pygmy Lorikeet,Charmosyna wilhelminae,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77587,species,reflor2,Red-fronted Lorikeet,Red-fronted Lorikeet,Charmosyna rubronotata,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77588,species,reflor1,Red-flanked Lorikeet,Red-flanked Lorikeet,Charmosyna placentis,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77591,species,neclor1,New Caledonian Lorikeet,New Caledonian Lorikeet,Charmosyna diadema,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77592,species,retlor1,Red-throated Lorikeet,Red-throated Lorikeet,Charmosyna amabilis,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77592,species,duclor1,Duchess Lorikeet,Duchess Lorikeet,Charmosyna margarethae,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77593,species,failor1,Fairy Lorikeet,Fairy Lorikeet,Charmosyna pulchella,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77594,species,joslor1,Josephine's Lorikeet,Josephine's Lorikeet,Charmosyna josefinae,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77596,species,paplor1,Papuan Lorikeet,Papuan Lorikeet,Charmosyna papou,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77597,spuh,charmo1,Charmosyna sp.,Charmosyna sp.,Charmosyna sp.,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77599,species,collor1,Collared Lory,Collared Lory,Phigys solitarius,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77599,species,blclor2,Blue-crowned Lorikeet,Blue-crowned Lorikeet,Vini australis,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.776,species,kuhlor1,Kuhl's Lorikeet,Kuhl's Lorikeet,Vini kuhlii,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.776,species,stelor1,Stephen's Lorikeet,Stephen's Lorikeet,Vini stepheni,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77601,species,blulor1,Blue Lorikeet,Blue Lorikeet,Vini peruviana,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77601,species,ultlor1,Ultramarine Lorikeet,Ultramarine Lorikeet,Vini ultramarina,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77602,species,blalor1,Black Lory,Black Lory,Chalcopsitta atra,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77604,species,brolor1,Brown Lory,Brown Lory,Chalcopsitta duivenbodei,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77605,species,yeslor1,Yellow-streaked Lory,Yellowish-streaked Lory,Chalcopsitta scintillata,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77607,species,carlor1,Cardinal Lory,Cardinal Lory,Chalcopsitta cardinalis,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77608,species,chalor1,Chattering Lory,Chattering Lory,Lorius garrulus,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.7761,species,publor1,Purple-bellied Lory,Purple-bellied Lory,Lorius hypoinochrous,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77612,species,punlor1,Purple-naped Lory,Purple-naped Lory,Lorius domicella,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77612,species,blclor1,Black-capped Lory,Black-capped Lory,Lorius lory,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77616,species,whnlor2,White-naped Lory,White-naped Lory,Lorius albidinucha,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77617,species,yeblor1,Yellow-bibbed Lory,Yellow-bibbed Lory,Lorius chlorocercus,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77617,species,muslor1,Musk Lorikeet,Musk Lorikeet,Glossopsitta concinna,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77618,species,litlor1,Little Lorikeet,Little Lorikeet,Glossopsitta pusilla,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77618,species,puclor1,Purple-crowned Lorikeet,Purple-crowned Lorikeet,Glossopsitta porphyrocephala,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77619,species,varlor1,Varied Lorikeet,Varied Lorikeet,Psitteuteles versicolor,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77619,species,irilor1,Iris Lorikeet,Iris Lorikeet,Psitteuteles iris,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77621,species,gollor1,Goldie's Lorikeet,Goldie's Lorikeet,Psitteuteles goldiei,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77622,species,rablor1,Red-and-blue Lory,Red-and-blue Lory,Eos histrio,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77624,species,vinlor1,Violet-necked Lory,Violet-necked Lory,Eos squamata,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77626,species,redlor1,Red Lory,Red Lory,Eos bornea,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77627,species,blslor1,Blue-streaked Lory,Blue-streaked Lory,Eos reticulata,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77628,species,blwlor1,Black-winged Lory,Black-winged Lory,Eos cyanogenia,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77628,species,blelor1,Blue-eared Lory,Blue-eared Lory,Eos semilarvata,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77629,species,duslor1,Dusky Lory,Dusky Lory,Pseudeos fuscata,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77629,species,ornlor1,Ornate Lorikeet,Ornate Lorikeet,Trichoglossus ornatus,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.7763,species,railor1,Rainbow Lorikeet,rainbow lorikeet sp.,Trichoglossus haematodus,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.7763,issf,railor4,Rainbow Lorikeet (Coconut),Coconut Lorikeet,Trichoglossus haematodus [haematodus Group],Psittaciformes,Psittaculidae (Old World Parrots),,railor1
11587.77635,issf,railor3,Rainbow Lorikeet (Sunset),Sunset Lorikeet,Trichoglossus haematodus [forsteni Group],Psittaciformes,Psittaculidae (Old World Parrots),,railor1
11587.77638,issf,railor2,Rainbow Lorikeet (Marigold),Marigold Lorikeet,Trichoglossus haematodus [capistratus Group],Psittaciformes,Psittaculidae (Old World Parrots),,railor1
11587.7764,issf,railor5,Rainbow Lorikeet (Rainbow),Rainbow Lorikeet,Trichoglossus haematodus moluccanus,Psittaciformes,Psittaculidae (Old World Parrots),,railor1
11587.7764,issf,railor6,Rainbow Lorikeet (Biak),Biak Lorikeet,Trichoglossus haematodus rosenbergii,Psittaciformes,Psittaculidae (Old World Parrots),,railor1
11587.77641,issf,railor8,Rainbow Lorikeet (Leaf),Leaf Lorikeet,Trichoglossus haematodus weberi,Psittaciformes,Psittaculidae (Old World Parrots),,railor1
11587.77641,issf,railor7,Rainbow Lorikeet (Red-collared),Red-collared Lorikeet,Trichoglossus haematodus rubritorquis,Psittaciformes,Psittaculidae (Old World Parrots),,railor1
11587.77641,hybrid,x00809,Musk x Rainbow Lorikeet (hybrid),Musk x Rainbow Lorikeet (hybrid),Glossopsitta concinna x Trichoglossus haematodus,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77642,species,olhlor1,Olive-headed Lorikeet,Olive-headed Lorikeet,Trichoglossus euteles,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77642,species,yaglor1,Yellow-and-green Lorikeet,Citrine Lorikeet,Trichoglossus flavoviridis,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77644,species,minlor1,Mindanao Lorikeet,Mindanao Lorikeet,Trichoglossus johnstoniae,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77644,species,pohlor1,Pohnpei Lorikeet,Pohnpei Lorikeet,Trichoglossus rubiginosus,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77645,species,scblor1,Scaly-breasted Lorikeet,Scaly-breasted Lorikeet,Trichoglossus chlorolepidotus,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77645,hybrid,x00810,Rainbow x Scaly-breasted Lorikeet (hybrid),Rainbow x Scaly-breasted Lorikeet (hybrid),Trichoglossus haematodus x chlorolepidotus,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77645,spuh,y00637,Psitteuteles/Trichoglossus sp.,Psitteuteles/Trichoglossus sp.,Psitteuteles/Trichoglossus sp.,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.77648,hybrid,x00856,lorikeet sp. (hybrid),lorikeet sp. (hybrid),Glossopsitta/Trichoglossus sp. (hybrid),Psittaciformes,Psittaculidae (Old World Parrots),,
11587.78,species,vehpar1,Vernal Hanging-Parrot,Vernal Hanging Parrot,Loriculus vernalis,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.79,species,cehpar1,Sri Lanka Hanging-Parrot,Sri Lanka Hanging Parrot,Loriculus beryllinus,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.8,species,phihap1,Philippine Hanging-Parrot,Philippine Hanging Parrot,Loriculus philippensis,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.91,species,camhap1,Camiguin Hanging-Parrot,Camiguin Hanging Parrot,Loriculus camiguinensis,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.92,species,bchpar1,Blue-crowned Hanging-Parrot,Blue-crowned Hanging Parrot,Loriculus galgulus,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.93,species,suhpar1,Sulawesi Hanging-Parrot,Great Hanging Parrot,Loriculus stigmatus,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.94,species,sulhap1,Sula Hanging-Parrot,Sula Hanging Parrot,Loriculus sclateri,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.95,species,mohpar1,Moluccan Hanging-Parrot,Moluccan Hanging Parrot,Loriculus amabilis,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.96,species,sahpar2,Sangihe Hanging-Parrot,Sangihe Hanging Parrot,Loriculus catamene,Psittaciformes,Psittaculidae (Old World Parrots),,
11587.97,species,paphap1,Papuan Hanging-Parrot,Orange-fronted Hanging Parrot,Loriculus aurantiifrons,Psittaciformes,Psittaculidae (Old World Parrots),,
11588.01,species,gfhpar1,Green-fronted Hanging-Parrot,Bismarck Hanging Parrot,Loriculus tener,Psittaciformes,Psittaculidae (Old World Parrots),,
11588.02,species,pyghap1,Pygmy Hanging-Parrot,Pygmy Hanging Parrot,Loriculus exilis,Psittaciformes,Psittaculidae (Old World Parrots),,
11588.03,species,ythpar1,Yellow-throated Hanging-Parrot,Yellow-throated Hanging Parrot,Loriculus pusillus,Psittaciformes,Psittaculidae (Old World Parrots),,
11588.04,species,wahpar2,Wallace's Hanging-Parrot,Wallace's Hanging Parrot,Loriculus flosculus,Psittaciformes,Psittaculidae (Old World Parrots),,
11588.045,spuh,hangin1,hanging-parrot sp.,hanging parrot sp.,Loriculus sp.,Psittaciformes,Psittaculidae (Old World Parrots),,
11588.046,species,blclov2,Black-collared Lovebird,Black-collared Lovebird,Agapornis swindernianus,Psittaciformes,Psittaculidae (Old World Parrots),,
11588.05,species,gyhlov1,Gray-headed Lovebird,Grey-headed Lovebird,Agapornis canus,Psittaciformes,Psittaculidae (Old World Parrots),,
11588.08,species,rehlov1,Red-headed Lovebird,Red-headed Lovebird,Agapornis pullarius,Psittaciformes,Psittaculidae (Old World Parrots),,
11588.11,species,blwlov1,Black-winged Lovebird,Black-winged Lovebird,Agapornis taranta,Psittaciformes,Psittaculidae (Old World Parrots),,
11588.16,species,peflov,Rosy-faced Lovebird,Rosy-faced Lovebird,Agapornis roseicollis,Psittaciformes,Psittaculidae (Old World Parrots),,
11588.19,species,fislov1,Fischer's Lovebird,Fischer's Lovebird,Agapornis fischeri,Psittaciformes,Psittaculidae (Old World Parrots),,
11588.2,species,yeclov,Yellow-collared Lovebird,Yellow-collared Lovebird,Agapornis personatus,Psittaciformes,Psittaculidae (Old World Parrots),,
11588.205,hybrid,x00671,Fischer's x Yellow-collared Lovebird (hybrid),Fischer's x Yellow-collared Lovebird (hybrid),Agapornis fischeri x personatus,Psittaciformes,Psittaculidae (Old World Parrots),,
11588.207,slash,y00791,Fischer's/Yellow-collared Lovebird,Fischer's/Yellow-collared Lovebird,Agapornis fischeri/personatus,Psittaciformes,Psittaculidae (Old World Parrots),,
11588.21,species,lillov1,Lilian's Lovebird,Lilian's Lovebird,Agapornis lilianae,Psittaciformes,Psittaculidae (Old World Parrots),,
11588.22,species,blclov1,Black-cheeked Lovebird,Black-cheeked Lovebird,Agapornis nigrigenis,Psittaciformes,Psittaculidae (Old World Parrots),,
11588.23,spuh,lovebi1,lovebird sp.,lovebird sp.,Agapornis sp.,Psittaciformes,Psittaculidae (Old World Parrots),,
11588.33,species,grepar,Gray Parrot,Grey/Timneh Parrot,Psittacus erithacus,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.34,issf,grypar1,Gray Parrot (Timneh),Timneh Parrot,Psittacus erithacus timneh/princeps,Psittaciformes,Psittacidae (New World and African Parrots),,grepar
11588.35,issf,grypar2,Gray Parrot (Gray),Grey Parrot,Psittacus erithacus erithacus,Psittaciformes,Psittacidae (New World and African Parrots),,grepar
11588.36,species,brnpar1,Brown-necked Parrot,Brown-necked/Cape Parrot,Poicephalus robustus,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.361,issf,bnnpar3,Brown-necked Parrot (Brown-necked),Brown-necked Parrot (Brown-necked),Poicephalus robustus fuscicollis,Psittaciformes,Psittacidae (New World and African Parrots),,brnpar1
11588.362,issf,bnnpar4,Brown-necked Parrot (Gray-headed),Brown-necked Parrot (Grey-headed),Poicephalus robustus suahelicus,Psittaciformes,Psittacidae (New World and African Parrots),,brnpar1
11588.4,issf,bnnpar2,Brown-necked Parrot (Cape),Cape Parrot,Poicephalus robustus robustus,Psittaciformes,Psittacidae (New World and African Parrots),,brnpar1
11588.41,species,refpar5,Red-fronted Parrot,Red-fronted Parrot,Poicephalus gulielmi,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.42,issf,refpar6,Red-fronted Parrot (Guinean),Red-fronted Parrot (Guinean),Poicephalus gulielmi fantiensis,Psittaciformes,Psittacidae (New World and African Parrots),,refpar5
11588.425,issf,refpar7,Red-fronted Parrot (Red-fronted),Red-fronted Parrot (Red-fronted),Poicephalus gulielmi gulielmi/massaicus,Psittaciformes,Psittacidae (New World and African Parrots),,refpar5
11588.45,species,meypar1,Meyer's Parrot,Meyer's Parrot,Poicephalus meyeri,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.52,species,ruepar1,Rüppell's Parrot,Rüppell's Parrot,Poicephalus rueppellii,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.53,species,brhpar2,Brown-headed Parrot,Brown-headed Parrot,Poicephalus cryptoxanthus,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.56,species,ninpar1,Niam-Niam Parrot,Niam-Niam Parrot,Poicephalus crassus,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.57,species,rebpar1,Red-bellied Parrot,Red-bellied Parrot,Poicephalus rufiventris,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.6,species,senpar,Senegal Parrot,Senegal Parrot,Poicephalus senegalus,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.63,species,yefpar4,Yellow-fronted Parrot,Yellow-fronted Parrot,Poicephalus flavifrons,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.635,spuh,poicep1,Poicephalus sp.,Poicephalus sp.,Poicephalus sp.,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.64,species,litpar2,Lilac-tailed Parrotlet,Lilac-tailed Parrotlet,Touit batavicus,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.65,species,scspar1,Scarlet-shouldered Parrotlet,Scarlet-shouldered Parrotlet,Touit huetii,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.66,species,refpar1,Red-fronted Parrotlet,Red-fronted Parrotlet,Touit costaricensis,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.67,species,bufpar1,Blue-fronted Parrotlet,Blue-fronted Parrotlet,Touit dilectissimus,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.68,species,sarpar2,Sapphire-rumped Parrotlet,Sapphire-rumped Parrotlet,Touit purpuratus,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.71,species,brbpar1,Brown-backed Parrotlet,Brown-backed Parrotlet,Touit melanonotus,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.72,species,gotpar2,Golden-tailed Parrotlet,Golden-tailed Parrotlet,Touit surdus,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.73,species,spwpar2,Spot-winged Parrotlet,Spot-winged Parrotlet,Touit stictopterus,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.74,spuh,touit1,Touit sp.,Touit sp.,Touit sp.,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.75,species,gyhpar1,Gray-hooded Parakeet,Grey-hooded Parakeet,Psilopsiagon aymara,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.76,species,moupar2,Mountain Parakeet,Mountain Parakeet,Psilopsiagon aurifrons,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.81,species,barpar1,Barred Parakeet,Barred Parakeet,Bolborhynchus lineola,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.84,species,rufpar1,Rufous-fronted Parakeet,Rufous-fronted Parakeet,Bolborhynchus ferrugineifrons,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.85,species,andpar1,Andean Parakeet,Andean Parakeet,Bolborhynchus orbygnesius,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.855,slash,y00875,Barred/Andean Parakeet,Barred/Andean Parakeet,Bolborhynchus lineola/orbygnesius,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.86,species,teppar1,Tepui Parrotlet,Tepui Parrotlet,Nannopsittaca panychlora,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.87,species,amapar1,Amazonian Parrotlet,Manu Parrotlet,Nannopsittaca dachilleae,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.88,species,monpar,Monk Parakeet,Monk/Cliff Parakeet,Myiopsitta monachus,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.89,issf,monpar1,Monk Parakeet (Monk),Monk Parakeet,Myiopsitta monachus [monachus Group],Psittaciformes,Psittacidae (New World and African Parrots),,monpar
11588.93,issf,monpar2,Monk Parakeet (Cliff),Cliff Parakeet,Myiopsitta monachus luchsi,Psittaciformes,Psittacidae (New World and African Parrots),,monpar
11588.94,species,tuipar1,Tui Parakeet,Tui Parakeet,Brotogeris sanctithomae,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.97,species,plapar1,Plain Parakeet,Plain Parakeet,Brotogeris tirica,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.98,species,whwpar,White-winged Parakeet,White-winged Parakeet,Brotogeris versicolurus,Psittaciformes,Psittacidae (New World and African Parrots),,
11588.99,species,yecpar,Yellow-chevroned Parakeet,Yellow-chevroned Parakeet,Brotogeris chiriri,Psittaciformes,Psittacidae (New World and African Parrots),,
