species_code,taxon_concept_id,scientific_name,common_name,order,family,family_common,category,taxonomic_order,report_as,extinct
x00360,avibase-A34B2F91,Dendrocygna arcuata x javanica,Wandering x Lesser Whistling-Duck (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,260,,
whistl1,avibase-5EE786A2,Dendrocygna sp.,whistling-duck sp.,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",spuh,261,,
whbduc1,avibase-2EEDACD5,Thalassornis leuconotus,White-backed Duck,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,262,,FALSE
bahgoo,avibase-B7159EF0,Anser indicus,Bar-headed Goose,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,265,,FALSE
empgoo,avibase-1E6F0F8D,Anser canagicus,Emperor Goose,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,266,,FALSE
snogoo,avibase-D3A260BC,Anser caerulescens,Snow Goose,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,267,,FALSE
x00991,avibase-5BDBBB81,Anser indicus x caerulescens,Bar-headed x Snow Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,270,,
x01176,avibase-DAB3D0B0,Anser canagicus x caerulescens,Emperor x Snow Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,271,,
rosgoo,avibase-7A24F57F,Anser rossii,Ross's Goose,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,272,,FALSE
sxrgoo1,avibase-4026C894,Anser caerulescens x rossii,Snow x Ross's Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,273,,
y00469,avibase-594A12EF,Anser caerulescens/rossii,Snow/Ross's Goose,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",slash,274,,
gragoo,avibase-4AED44E8,Anser anser,Graylag Goose,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,275,,FALSE
gragoo2,avibase-5D2E44DE,Anser anser anser,Graylag Goose (European),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,276,gragoo,
gragoo3,avibase-01364018,Anser anser rubrirostris,Graylag Goose (Siberian),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,277,gragoo,
gragoo1,avibase-6835DC6C,Anser anser (Domestic type),Graylag Goose (Domestic type),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",domestic,278,gragoo,
x00992,avibase-E34C371D,Anser indicus x anser,Bar-headed x Graylag Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,279,,
x01119,avibase-F177BE86,Anser canagicus x anser,Emperor x Graylag Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,280,,
swagoo1,avibase-946E4517,Anser cygnoides,Swan Goose,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,281,,FALSE
swagoo2,avibase-1EC15745,Anser cygnoides (Domestic type),Swan Goose (Domestic type),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",domestic,282,swagoo1,
x01143,avibase-49AC5A73,Anser indicus x cygnoides,Bar-headed x Swan Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,283,,
x01144,avibase-1DA8AC66,Anser caerulescens x cygnoides,Snow x Swan Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,284,,
x01142,avibase-F6E1D293,Anser indicus x caerulescens x cygnoides,Bar-headed x Snow x Swan Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,285,,
x00776,avibase-916E14FB,Anser anser x cygnoides,Graylag x Swan Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,286,,
gwfgoo,avibase-466E9077,Anser albifrons,Greater White-fronted Goose,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,287,,FALSE
gwfgoo1,avibase-948370D2,Anser albifrons flavirostris,Greater White-fronted Goose (Greenland),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,288,gwfgoo,
gwfgoo4,avibase-05DCDA52,Anser albifrons albifrons,Greater White-fronted Goose (Eurasian),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,289,gwfgoo,
gwfgoo2,avibase-304D8767,Anser albifrons gambelli/sponsa,Greater White-fronted Goose (Western),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,290,gwfgoo,
gwfgoo3,avibase-4662DBF7,Anser albifrons elgasi,Greater White-fronted Goose (Tule),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,293,gwfgoo,
x00755,avibase-71C99AF8,Anser indicus x albifrons,Bar-headed x Greater White-fronted Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,294,,
x00361,avibase-CBD2AE6E,Anser canagicus x albifrons,Emperor x Greater White-fronted Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,295,,
x00627,avibase-CC0A3AF6,Anser caerulescens x albifrons,Snow x Greater White-fronted Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,296,,
x00362,avibase-AF827B87,Anser rossii x albifrons,Ross's x Greater White-fronted Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,297,,
x01145,avibase-6DFDAF5F,Anser anser x albifrons,Graylag x Greater White-fronted Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,298,,
lwfgoo,avibase-184D2329,Anser erythropus,Lesser White-fronted Goose,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,299,,FALSE
y00707,avibase-3FC1DDB7,Anser albifrons/erythropus,Greater/Lesser White-fronted Goose,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",slash,300,,
taibeg1,avibase-BDB497A3,Anser fabalis,Taiga Bean-Goose,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,301,,FALSE
taibeg5,avibase-6E126406,Anser fabalis fabalis/johanseni,Taiga Bean-Goose (Western),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,302,taibeg1,
taibeg4,avibase-97E7761F,Anser fabalis middendorffii,Taiga Bean-Goose (Eastern),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,305,taibeg1,
tunbeg1,avibase-AD849FCB,Anser serrirostris,Tundra Bean-Goose,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,306,,FALSE
x01089,avibase-E1E49C90,Anser albifrons x serrirostris,Greater White-fronted Goose x Tundra Bean-Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,309,,
y00468,avibase-2FEEA78C,Anser fabalis/serrirostris,Taiga/Tundra Bean-Goose,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",slash,310,,
pifgoo,avibase-AFA7EE74,Anser brachyrhynchus,Pink-footed Goose,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,311,,FALSE
domgoo1,avibase-B5A67E0C,Anser sp. (Domestic type),Domestic goose sp. (Domestic type),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",domestic,312,,
anser1,avibase-C9ADFB7A,Anser sp.,Anser sp.,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",spuh,313,,
brant,avibase-3E04020B,Branta bernicla,Brant,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,314,,FALSE
dabbra1,avibase-FF504551,Branta bernicla bernicla,Brant (Dark-bellied),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,315,brant,
