LAST EDITED DATE	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	TRIP COMMENTS
2017-10-19 12:47:04	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-04-04	08:15:00	obs205759	S10346569	Incidental	P20	EBIRD_CAN				1	1		
2012-04-17 07:23:18	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-04-17	19:23:00	obs205759	S10470994	Incidental	P20	EBIRD_CAN				1	1		
2017-05-27 10:35:22	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-04-01	12:15:00	obs205759	S10319178	Incidental	P20	EBIRD_CAN				1	1		
2017-10-19 12:47:06	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-05-03	18:00:00	obs205759	S10615697	Incidental	P20	EBIRD_CAN				1	1		
2017-10-19 12:47:06	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-04-28	14:30:00	obs205759	S10566462	Incidental	P20	EBIRD_CAN				1	1		
2017-05-27 10:25:40	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-04-28	13:30:00	obs205759	S10566465	Incidental	P20	EBIRD_CAN				1	1		
2017-10-19 12:47:06	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-04-25	17:00:00	obs205759	S10541008	Incidental	P20	EBIRD_CAN				1	1		
2017-05-27 10:25:40	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-04-25	14:00:00	obs205759	S10541009	Incidental	P20	EBIRD_CAN				1	1		
2017-10-19 12:47:06	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-04-19	16:10:00	obs205759	S10486738	Incidental	P20	EBIRD_CAN				1	1		
2017-10-19 12:47:06	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-04-19	16:15:00	obs205759	S10486740	Incidental	P20	EBIRD_CAN				1	1		
2017-05-27 10:36:20	Singapore	SG	Singapore	SG-							MacRitchie Reservoir Park	L1203001	H	1.3416843	103.8324308	2012-01-28	07:50:00	obs440130	S16899954	Traveling	P22	EBIRD_AU	190	4		1	1		cloudy and superhumid.
2017-10-19 12:47:03	Singapore	SG	Singapore	SG-							Sime road, Bukit Brown cemetery, Singapore	L1224758	P	1.3469028	103.7981415	2012-02-17	08:00:00	obs204697	S9879072	Traveling	P22	EBIRD	180	1.609		3	1		With JJ and TL
